"id","estado_id","nome","uf","iso","ddd","longitude","latitude"
"291","5","Carinhanha","BA","2907103","77","-43.7617772009392","-14.3020069035503"
"292","5","Casa Nova","BA","2907202","74","-40.9757969268709","-9.17859457408863"
"293","5","Castro Alves","BA","2907301","75","-39.426519430322","-12.7658326369124"
"294","5","Catolândia","BA","2907400","77","-44.8597702833594","-12.3160059384947"
"295","5","Catu","BA","2907509","71","-38.3762943035541","-12.3551865588507"
"296","5","Caturama","BA","2907558","77","-42.2964066437467","-13.3282013504011"
"297","5","Central","BA","2907608","74","-42.1123489751401","-11.137988582854"
"298","5","Chorrochó","BA","2907707","75","-39.1023700774151","-8.97547780401288"
"299","5","Cícero Dantas","BA","2907806","75","-38.3834191278696","-10.5921715319251"
"300","5","Cipó","BA","2907905","75","-38.5171293979405","-11.1011435641446"
"301","5","Coaraci","BA","2908002","73","-39.5523042559244","-14.6368142028023"
"302","5","Cocos","BA","2908101","77","-44.5456688581222","-14.1710775452171"
"303","5","Conceição da Feira","BA","2908200","75","-38.9997807982437","-12.503991911881"
"304","5","Conceição do Almeida","BA","2908309","75","-39.1709464493763","-12.7780203224236"
"305","5","Conceição do Coité","BA","2908408","75","-39.2816841782278","-11.5618258458634"
"306","5","Conceição do Jacuípe","BA","2908507","75","-38.7636737165227","-12.322946459029"
"307","5","Conde","BA","2908606","75","-37.6069779820631","-11.8134317610463"
"308","5","Condeúba","BA","2908705","77","-41.9708095383447","-14.8904103648485"
"309","5","Contendas do Sincorá","BA","2908804","77","-41.0463180639509","-13.7554968278956"
"310","5","Coração de Maria","BA","2908903","75","-38.7505165473666","-12.2479210100615"
"311","5","Cordeiros","BA","2909000","77","-41.9357339067348","-15.0372341089128"
"312","5","Coribe","BA","2909109","77","-44.4530364349169","-13.8278416058215"
"313","5","Coronel João Sá","BA","2909208","75","-37.9329643376141","-10.279395400226"
"314","5","Correntina","BA","2909307","77","-44.641086701211","-13.3417718212105"
"315","5","Cotegipe","BA","2909406","77","-44.2524761376623","-12.0285973836155"
"316","5","Cravolândia","BA","2909505","73","-39.8127117486746","-13.3626230640403"
"317","5","Crisópolis","BA","2909604","75","-38.1517158173066","-11.5177899236101"
"318","5","Cristópolis","BA","2909703","77","-44.4118418963","-12.2314508089662"
"319","5","Cruz das Almas","BA","2909802","75","-39.1007361428306","-12.6637862127757"
"320","5","Curaçá","BA","2909901","74","-39.908081018943","-8.98903211797355"
"321","5","Dário Meira","BA","2910008","73","-39.9024656528413","-14.4350474388235"
"322","5","Dias D'ávila","BA","2910057","71","-38.2979935898508","-12.6043684168205"
"323","5","Dom Basílio","BA","2910107","77","-41.7708775806957","-13.7633265545771"
"324","5","Dom Macedo Costa","BA","2910206","75","-39.188094169582","-12.911489262313"
"325","5","Elísio Medrado","BA","2910305","75","-39.5204855551496","-12.9433258382093"
"326","5","Encruzilhada","BA","2910404","77","-40.9091207501114","-15.5345801802607"
"327","5","Entre Rios","BA","2910503","75","-38.078777019756","-11.9372613704434"
"328","5","Esplanada","BA","2910602","75","-37.9449814740986","-11.799409496062"
"329","5","Euclides da Cunha","BA","2910701","75","-39.0142487251363","-10.5058180636519"
"330","5","Eunápolis","BA","2910727","73","-39.5841719409864","-16.3751672322564"
"331","5","Fátima","BA","2910750","75","-38.2086747828629","-10.6001702140173"
"332","5","Feira da Mata","BA","2910776","77","-44.283463938437","-14.2105645058372"
"333","5","Feira de Santana","BA","2910800","75","-38.9600330963214","-12.2292842524801"
"334","5","Filadélfia","BA","2910859","74","-40.1378268767837","-10.7384641099353"
"335","5","Firmino Alves","BA","2910909","73","-39.9214417636272","-14.9849353752521"
"336","5","Floresta Azul","BA","2911006","73","-39.6565235874089","-14.8627983966227"
